,precision,recall,f1-score,support
no,0.6825190010857763,0.7824246950460543,0.729065182092322,4017.0
yes,0.8030644434429923,0.7091126144050935,0.7531699070160609,5026.0
accuracy,0.7416786464668804,0.7416786464668804,0.7416786464668804,0.7416786464668804
macro avg,0.7427917222643843,0.745768654725574,0.7411175445541914,9043.0
weighted avg,0.7495168329211592,0.7416786464668804,0.7424623232475484,9043.0
