,precision,recall,f1-score,support
no,0.9224787363304982,0.9507827175954916,0.9364168979340117,7985.0
yes,0.5166051660516605,0.39697542533081287,0.4489577765900588,1058.0
accuracy,0.885989162888422,0.885989162888422,0.885989162888422,0.885989162888422
macro avg,0.7195419511910793,0.6738790714631522,0.6926873372620352,9043.0
weighted avg,0.8749929199692231,0.885989162888422,0.8793858517787644,9043.0
