,precision,recall,f1-score,support
no,0.7437657286662092,0.809310430669654,0.7751549833094897,4017.0
yes,0.8360445205479452,0.7771587743732591,0.8055269127655187,5026.0
accuracy,0.7914408935087913,0.7914408935087913,0.7914408935087913,0.7914408935087913
macro avg,0.7899051246070772,0.7932346025214565,0.7903409480375042,9043.0
weighted avg,0.7950532668722918,0.7914408935087913,0.7920353678551052,9043.0
