,precision,recall,f1-score,support
no,0.9008735282947209,0.6247037134579931,0.7377916018662519,7594.0
yes,0.2454328832406672,0.639751552795031,0.3547646383467279,1449.0
accuracy,0.6271148954992812,0.6271148954992812,0.6271148954992812,0.6271148954992812
macro avg,0.573153205767694,0.6322276331265121,0.5462781201064899,9043.0
weighted avg,0.7958493665471456,0.6271148954992812,0.6764174925950156,9043.0
