,precision,recall,f1-score,support
no,0.9424812605170567,0.771571696931747,0.8485057154661892,7985.0
yes,0.27214684756584195,0.6446124763705104,0.38271604938271603,1058.0
accuracy,0.7567179033506579,0.7567179033506579,0.7567179033506579,0.7567179033506579
macro avg,0.6073140540414493,0.7080920866511287,0.6156108824244526,9043.0
weighted avg,0.8640544321523121,0.7567179033506579,0.7940099212920972,9043.0
