,precision,recall,f1-score,support
no,0.8631705846895721,0.9428496181195681,0.9012524387941343,7594.0
yes,0.4197860962566845,0.21670117322291235,0.2858443331816113,1449.0
accuracy,0.8264956319805374,0.8264956319805374,0.8264956319805374,0.8264956319805374
macro avg,0.6414783404731284,0.5797753956712403,0.5935483859878727,9043.0
weighted avg,0.7921251214871775,0.8264956319805374,0.8026428684046014,9043.0
