variable,count,missing,mean,median,mode,mode_frequency,min,max,range,variance_sample,std_sample,cv_percent,q1,q3,iqr,skewness,kurtosis_excess,p01,p05,p10,p25,p50,p75,p90,p95,p99
open,1259,0,109.0554289118348,108.97,110,4,55.4242,179.37,123.9458,933.2548441107056,30.54922002458828,28.012562354218616,84.6478,127.33500000000001,42.687200000000004,0.2921479095616899,-0.6103867874652313,58.670506,62.34924,66.7385,84.6478,108.97,127.33500000000001,154.91400000000002,166.08699999999993,174.943
high,1259,0,109.95111834789516,110.03,96.89; 97.88; 117.44; 160,3,57.0857,180.1,123.01429999999999,941.6420362655374,30.686186407983925,27.908935233282566,85.33494999999999,128.10000000000002,42.76505000000003,0.2867284908179968,-0.6122760261006714,59.926064,63.05496,67.3987,85.33494999999999,110.03,128.10000000000002,155.592,168.10716999999997,175.54620000000003
low,1259,0,108.14158888006352,108.05,94.1; 98.31,3,55.0142,178.25,123.2358,922.7149593376981,30.37622358585244,28.08930763865673,84.25065000000001,126.28999999999999,42.039349999999985,0.2954775599321728,-0.6070536319234114,58.233976,61.638510000000004,66.1442,84.25065000000001,108.05,126.28999999999999,153.928,164.75799999999992,174.1714
close,1259,0,109.06669849086578,109.01,100.75; 99.62; 106.82; 126.6; 97.34,3,55.7899,179.26,123.47009999999999,933.7187398614844,30.55681167696467,28.016628448255243,84.83064999999999,127.12,42.28935000000001,0.2898683677506596,-0.6092643151403849,58.814569999999996,62.54894,66.7036,84.83064999999999,109.01,127.12,155.304,166.89799999999997,175.0042
volume,1259,0,54047899.73550437,45668931.0,Không có mode,1,11475922.0,266833581.0,255357659.0,1120130675008885.6,33468353.335784025,61.92350396512906,29694376.5,68708720.0,39014343.5,1.8502250905357243,5.0951419786811245,15980530.74,19979029.7,22406672.6,29694376.5,45668931.0,68708720.0,96026135.80000001,118023291.39999999,173507606.58000013
