fold,train_target_start,train_target_end,validation_target_start,validation_target_end,train_unique_dates,validation_unique_dates,train_rows,validation_rows
1,2013-02-11,2013-10-11,2013-10-14,2014-06-12,170,167,81416,80723
2,2013-02-11,2014-06-12,2014-06-13,2015-02-10,337,167,162139,81410
3,2013-02-11,2015-02-10,2015-02-11,2015-10-08,504,167,243549,81835
4,2013-02-11,2015-10-08,2015-10-09,2016-06-08,671,167,325384,82770
5,2013-02-11,2016-06-08,2016-06-09,2017-02-06,838,167,408154,83213
