variable,q1,q3,iqr_lower,iqr_upper,outlier_count,outlier_pct
open,40.22,94.37,-41.00500000000001,175.59500000000003,38963,0.06294100542775911
high,40.62,95.18,-41.22000000000002,177.02000000000004,39020,0.06303308348410441
low,39.83,93.54,-40.735000000000014,174.10500000000002,38891,0.06282469630395451
close,40.245,94.41,-41.002500000000005,175.6575,38941,0.06290546652881882
volume,1070320.5,4284509.25,-3750962.625,9105792.375,59503,0.09612141380201603
