variable,min,q1,median,q3,max,log_min,log_p01,log_q1,log_median,log_q3,log_p99,log_max
open,1.62,40.22,62.59,94.37,2044.0,0.20951501454263097,1.0788191830988487,1.604442066260723,1.7965049515532963,1.97483395504854,2.673612088569133,3.3104808914626753
high,1.69,40.62,63.15,95.18,2067.99,0.22788670461367352,1.084576277934331,1.6087399190687879,1.8003733548913496,1.9785457004627387,2.6775415289009095,3.3155484343467987
low,1.5,39.83,62.02,93.54,2035.11,0.17609125905568124,1.0726174765452365,1.600210306409328,1.7925317619013077,1.9709973655724853,2.6677674922947023,3.308587888304192
close,1.59,40.245,62.62,94.41,2049.0,0.2013971243204515,1.0791812460476249,1.6047119317276202,1.7967130632808965,1.9750179976328828,2.6737772644136633,3.311541958401195
volume,0.0,1070320.5,2082093.5,4284509.25,618237630.0,-9.0,5.3889575552308,6.029513843598392,6.3185002283546385,6.631901084783531,7.57821232446729,8.791155435544479
