variable,raw_count,raw_missing,raw_mean,raw_std,raw_skew,filled_count,filled_missing,filled_mean,filled_std,log_std,log_skew
open,619029,11,83.02333431454747,97.3787690433238,7.661618274756042,635795,0,82.5371423347148,96.8217059829946,0.7097974951614474,0.2140020359350806
high,619032,8,83.7783106934698,98.2075189044639,7.652240731715614,635795,0,83.32549821444019,97.62405432482647,0.7081398768488617,0.2228477594394168
low,619032,8,82.25609641375567,96.50742105809033,7.6727466794439,635795,0,81.75217141971864,95.93639056482434,0.7107729693821184,0.20720548686607945
close,619040,0,83.0437627647648,97.38974800165802,7.663015624542698,635795,0,82.56110929922382,96.8084600496818,0.7093493606419823,0.21671450552171218
volume,619040,0,4321823.395568945,8693609.511967573,10.282398854925415,635795,0,4428956.301556319,8926479.371784713,1.3378041895110822,-3.2743404230960977
