Eps,Min_samples,Cluster_count,Noise_count,Noise_percent,Silhouette_non_noise,Valid_candidate,Selection_objective,Selected_eps
0.8810636868666721,20,12,18133,40.10749596337175,-0.15659701817872726,False,-999.0,1.1088466854779546
0.9619917657644682,20,9,14300,31.629470704032205,-0.09155773644568851,True,-0.17807561926181734,1.1088466854779546
1.0559670133503745,20,9,10551,23.337240936940127,0.08672011314675478,True,0.03337114939899427,1.1088466854779546
1.1088466854779546,20,4,8841,19.554975559045364,0.14002366292880963,True,0.10180376069262817,1.1088466854779546
1.1681191623442975,20,6,7237,16.007166397558116,0.03780639207358943,True,0.013777726483356963,1.1088466854779546
1.2390658584070888,20,2,5698,12.603127557452831,0.06249794554572461,True,0.05208543531591329,1.1088466854779546
1.324756918613676,20,1,4348,9.617128574904338,,False,-999.0,1.1088466854779546
1.4315855043700907,20,1,3106,6.870009510959722,,False,-999.0,1.1088466854779546
1.5894405351334961,20,1,1780,3.9370949547676446,,False,-999.0,1.1088466854779546
1.8480574228645121,20,1,758,1.6765831324235252,,False,-999.0,1.1088466854779546
2.201178348647795,20,1,293,0.6480723717679325,,False,-999.0,1.1088466854779546
