DBSCAN_cluster,Cluster_size,Cluster_percent,y_yes_rate,housing_yes_rate,loan_yes_rate,Top_job,Top_marital,Top_education,Top_contact,Top_poutcome
-1,8841,19.554975559045364,24.363759755683745,52.561927383780116,13.550503336726615,management,married,secondary,cellular,unknown
0,36300,80.29019486408176,8.586776859504132,56.33884297520662,16.633608815427,blue-collar,married,secondary,cellular,unknown
1,39,0.08626219282917874,20.51282051282051,66.66666666666666,5.128205128205128,management,single,tertiary,cellular,failure
2,17,0.03760146866912919,23.52941176470588,29.411764705882355,29.411764705882355,admin.,single,tertiary,cellular,failure
3,14,0.030965915374576984,42.857142857142854,7.142857142857142,7.142857142857142,student,single,secondary,cellular,success
