K,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Elbow_K,Selected_K
2,388521.1080317581,0.24932918480039398,7399.316564512463,1.8318300632234386,5,5
3,350114.30331055913,0.15066323936266315,6585.0239687937665,2.112947299348103,5,5
4,326864.2565619129,0.14465908899643196,5774.042843294881,2.008365145986037,5,5
5,303851.96843184315,0.1496979658959139,5514.34283800357,1.7787695446052783,5,5
6,285458.71679155016,0.14839829102928834,5278.151140109737,1.6621436820307889,5,5
7,269178.34242556465,0.15917351752705572,5120.0519913555245,1.5978628716031245,5,5
8,252125.93475841405,0.15912845099958658,5122.0887163550915,1.4178394213472578,5,5
9,237483.48445006413,0.15732486134143428,5106.435512594877,1.3669810637898725,5,5
10,228276.00260821678,0.14281837824630575,4924.606098585788,1.3680619444166,5,5
