feature,importance
numeric__close,0.6473985171416198
numeric__high,0.20701709811825905
numeric__low,0.13035386616005304
numeric__open,0.015186591117262827
numeric__volume,3.114318925943921e-05
categorical__Name,1.2784273545811163e-05
