k,inertia,silhouette_sample,selected
2,275199.9723871221,0.1661308105912712,True
3,252225.27724135166,0.15537445014648502,False
4,236590.4629899708,0.14299687774790498,False
5,220965.90403216303,0.10560285332487025,False
6,211937.75594637461,0.1029013554518701,False
7,198025.81092596718,0.10997326089555101,False
8,191643.82930939688,0.10798059948474244,False
9,187366.16497320632,0.11077491588575916,False
10,179534.31206944323,0.1051931952387167,False
